,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,2.9244043231010437,0.04212398545586471,0.02463918924331665,0.0013086045365713946,0.6247240713084175,1.9014286128198323,0.0831993941811405,1,3,714,0.6674996517121548,"{'colsample_bytree': 0.6247240713084175, 'gamma': 1.9014286128198323, 'learning_rate': 0.0831993941811405, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 714, 'subsample': 0.6674996517121548}",0.6473571706106092,0.6696787372698585,0.64296569137934,0.6505553427333383,0.6526392354982865,0.010200059987299667,5,0.6850873313287387,0.6835389870296553,0.6923405223873202,0.6945357748708547,0.6888756539041423,0.004660302678692039,-29996.05841360377,-29514.930686663818,-30308.4439695394,-28570.37525159951,29597.452080351624,656.9043058115841,5,-28150.57307808029,-28089.389402307756,-27810.596119300077,-28134.218648434686,28046.1943120307,137.85457450097215
1,2.723335027694702,0.056818736385607915,0.03715169429779053,0.008034645892697189,0.45998494949080176,0.9184977839317343,0.04337086111390219,3,4,408,0.9819459112971965,"{'colsample_bytree': 0.45998494949080176, 'gamma': 0.9184977839317343, 'learning_rate': 0.04337086111390219, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 408, 'subsample': 0.9819459112971965}",0.652210865263709,0.6689630679079062,0.6407159312449113,0.6515944923598658,0.653371089194098,0.010096598917590526,4,0.7238845558916325,0.7246820525400974,0.7352497201306598,0.7329432008720318,0.7291898823586054,0.004981868431638869,-29788.91375273816,-29546.88670223254,-30403.784458025948,-28527.863513863416,29566.862106715016,676.3251896013577,4,-26359.521589599055,-26199.88912197432,-25798.435089591618,-26306.10205960775,26165.986965193188,219.8474630393574
2,3.112237513065338,0.2878810174352309,0.02913457155227661,0.005797372759537355,0.899465584480253,0.4246782213565523,0.028182496720710062,1,3,559,0.7669918962929685,"{'colsample_bytree': 0.899465584480253, 'gamma': 0.4246782213565523, 'learning_rate': 0.028182496720710062, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 559, 'subsample': 0.7669918962929685}",0.5799550661887122,0.6273633569018405,0.5921749592596105,0.5965657742816981,0.5990147891579654,0.017462068031137982,10,0.6104536200760311,0.6059307188947323,0.6179081325410863,0.6189905756443097,0.6133207617890398,0.005385721751824966,-32737.42658368499,-31348.465137599746,-32392.58514452735,-30698.21417574761,31794.172760389923,813.5732390071377,10,-31309.18485161026,-31345.01504413347,-30992.673847736256,-31421.183580853798,31267.014331083446,163.47272128381044
3,3.2961379289627075,0.2883636187691526,0.029502570629119873,0.004552120643614125,0.40423978313183045,0.046124850082831514,0.06247746602583892,3,4,575,0.9842533113048755,"{'colsample_bytree': 0.40423978313183045, 'gamma': 0.046124850082831514, 'learning_rate': 0.06247746602583892, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 575, 'subsample': 0.9842533113048755}",0.6657233842549157,0.6723322504314811,0.6399908070528179,0.6566480297170805,0.6586736178640739,0.012138861941377648,3,0.7701312114548983,0.7687362397751887,0.7824504003230337,0.7783332767707172,0.7749127820809594,0.0056905308450288395,-29204.492272227402,-29396.14303054247,-30434.450174843943,-28320.2129136567,29338.824597817627,751.5476938578022,3,-24050.946808880908,-24012.422887069304,-23385.91103150785,-23966.51744996734,23853.949544356354,271.8700541912699
4,6.818140268325806,0.5556214992388621,0.030134379863739014,0.0029646556213150854,0.5396628042581826,0.1812128690656416,0.07183860093330872,3,4,931,0.680057735948788,"{'colsample_bytree': 0.5396628042581826, 'gamma': 0.1812128690656416, 'learning_rate': 0.07183860093330872, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 931, 'subsample': 0.680057735948788}",0.6615695795134178,0.6473490412598626,0.6188864211999149,0.6409242524951326,0.642182323617082,0.015385402779650278,9,0.8405510760019638,0.836275287710524,0.8454942163102794,0.8429326500811822,0.8413133075259873,0.003393556730439797,-29385.383216827035,-30496.22176192987,-31313.80740974361,-28961.415127933746,30039.20687910857,925.0121020931334,9,-20031.0156727305,-20204.090713753034,-19708.22535104681,-20174.261188155066,20029.398231421354,196.63250927892537
5,5.3527732491493225,0.4220375298331782,0.025499999523162842,0.004388847063556828,0.9159642440417923,1.3606150771755594,0.05504992519695431,2,4,700,0.9793792198447356,"{'colsample_bytree': 0.9159642440417923, 'gamma': 1.3606150771755594, 'learning_rate': 0.05504992519695431, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 700, 'subsample': 0.9793792198447356}",0.6581914887333646,0.6765787750644389,0.6448856958572295,0.6623199273016018,0.6604939717391587,0.011302374924405738,1,0.7214291856442685,0.7226958517957727,0.7310131059346641,0.7314051113016926,0.7266358136690996,0.0045972590322564556,-29531.67622734028,-29205.037044281627,-30226.840056025514,-28085.325299249882,29262.219656724323,773.2156132051799,1,-26476.46386120567,-26294.22500366008,-26004.033031424882,-26381.747110466695,26289.11725168933,176.7612405254368
6,5.268033087253571,0.3345236088523922,0.025386393070220947,0.001865320115015168,0.8850384088698766,0.6092275383467414,0.01976721140063839,3,4,554,0.7659979946695725,"{'colsample_bytree': 0.8850384088698766, 'gamma': 0.6092275383467414, 'learning_rate': 0.01976721140063839, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 554, 'subsample': 0.7659979946695725}",0.6417903704949374,0.6663399593545546,0.6298912369930488,0.6421155313317002,0.6450342745435602,0.013250337419619593,8,0.7066726069360714,0.7068744446390514,0.7179920369534449,0.7149122102108542,0.7116128246848554,0.0049608036365282595,-30231.889410080876,-29663.71922738264,-30858.39606251826,-28913.333651846344,29916.83458795703,717.0911842044794,8,-27168.676683614405,-27033.920558633963,-26625.994301721374,-27179.658113626367,27002.062414399028,224.5788913818752
7,3.920291244983673,0.2812556882064786,0.023514091968536377,0.0010468640451673972,0.8999169470416986,0.34672930701554416,0.049106060757324085,2,4,487,0.5870266456536466,"{'colsample_bytree': 0.8999169470416986, 'gamma': 0.34672930701554416, 'learning_rate': 0.049106060757324085, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 487, 'subsample': 0.5870266456536466}",0.6474454766503324,0.6677748818493152,0.6417933098951558,0.6498222528796315,0.6517089803186087,0.009723308540554646,6,0.7096977062628986,0.7108879592786799,0.7199009567854189,0.720987835152471,0.715368614369867,0.00510767165103925,-29992.30249011577,-29599.86531190292,-30358.164592719182,-28600.32803309187,29637.665106957436,656.1981811614663,6,-27028.217678910318,-26848.206619232307,-26535.725231790042,-26888.47988156344,26825.157352874026,179.9621210452463
8,6.4054617285728455,0.09974480291661267,0.02174210548400879,0.003962006533187209,0.7120408127066865,1.0934205586865593,0.028485445552552703,3,4,829,0.6698524800218595,"{'colsample_bytree': 0.7120408127066865, 'gamma': 1.0934205586865593, 'learning_rate': 0.028485445552552703, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 829, 'subsample': 0.6698524800218595}",0.6665745041376911,0.6749974718237499,0.6431201847036815,0.6567134472541628,0.6603514019798213,0.011867854963555965,2,0.7570333382895309,0.7582145270767557,0.7705102723176351,0.7658902979810904,0.7629121089162529,0.0055504260287027795,-29167.289002271067,-29276.346074600893,-30301.88583380803,-28317.514914240277,29265.758956230067,704.0124445840221,2,-24726.663442869194,-24552.58898494066,-24019.10242952968,-24629.99859835098,24482.08836392263,274.3267758076156
9,4.338028609752655,0.09816394574787671,0.024892091751098633,0.0007345425114887637,0.6370901416010887,1.8533177315875884,0.08272719958564209,3,4,561,0.5175897174514872,"{'colsample_bytree': 0.6370901416010887, 'gamma': 1.8533177315875884, 'learning_rate': 0.08272719958564209, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 561, 'subsample': 0.5175897174514872}",0.6685150675001436,0.6606513445274771,0.6284363386663749,0.6477947035788159,0.6513493635682028,0.01515610899140739,7,0.8073412182880522,0.8086708079672208,0.8185219727058081,0.8166405152402242,0.8127936285503263,0.00485641048504928,-29082.287151458277,-29915.520878995172,-30918.988783343888,-28683.00729871789,29649.951028128806,857.0598903481341,7,-22018.441676817412,-21841.014670497745,-21359.30777799176,-21797.48417275881,21754.06207451643,242.4735868611129
