,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,0.05984550714492798,0.0057776985927182325,0.009186387062072754,0.0008122380821337873,0.0004185822729546974,{'alpha': 0.0004185822729546974},0.5968620466291454,0.6209450182233349,0.5988898690768915,0.5694974656338853,0.5965485998908143,0.018251910052794425,5,0.6236386696016402,0.6173270225496006,0.6258280785872973,0.6356233494878145,0.6256042800565882,0.006572831474099745,-32071.812578803332,-31617.287403185866,-32124.80354405881,-31711.34031789495,31881.310960985742,220.32814333892773,5,-30774.759796074497,-30888.44814019579,-30669.786018681287,-30727.69268492477,30765.171659969084,80.29962183179617
1,0.05397576093673706,0.01622906643888063,0.007881402969360352,0.0005214404827400265,4.518560951024111,{'alpha': 4.518560951024111},0.5329546862741954,0.5804564468715541,0.5469634054216723,0.5186739033221541,0.544762110472394,0.022907101349473234,10,0.5490970860164137,0.5430709864834804,0.5536345255496911,0.5650424435742917,0.5527112604059692,0.008045303516261329,-34520.42797739721,-33263.046934340025,-34140.926838283034,-33530.9954454107,33863.84929885774,494.87945323362106,10,-33684.77845255266,-33752.54767892193,-33498.12096961753,-33572.07008756812,33626.879297165055,98.3966599248506
2,0.024208545684814453,0.003743303518342966,0.009118735790252686,0.001619237533348931,0.1330324510152292,{'alpha': 0.1330324510152292},0.5993920871391777,0.6225693810313777,0.5997023719621373,0.5707822632906745,0.5981115258558418,0.018366041358153628,1,0.623079206081888,0.6167974926585211,0.625511909148597,0.6352821669654724,0.6251676937136197,0.00664911835732356,-31971.01495344509,-31549.469952646723,-32092.25048071401,-31663.98508051611,31819.180116830485,220.4826031696812,1,-30797.62474043644,-30909.81194573133,-30682.7410280222,-30742.075190946343,30783.063226284077,83.69862316799276
3,0.03526574373245239,0.002296151143319601,0.00984644889831543,0.0012339687598561355,0.015509913987594319,{'alpha': 0.015509913987594319},0.5971599909564513,0.6211820044885618,0.5989666730708412,0.5696957574143697,0.596751106482556,0.0182615484858307,4,0.62362389915362,0.6172958672469312,0.6258248721972728,0.6356158780874268,0.6255901291713127,0.006580873554664316,-32059.958843937537,-31607.40224836049,-32121.727791107787,-31704.036269857,31873.281288315702,221.30844690338472,4,-30775.363673908716,-30889.705505388927,-30669.917427640165,-30728.007712956714,30765.74857997363,80.72445755553646
4,0.05369448661804199,0.007852713597776735,0.00899595022201538,0.0015346644228197248,1.2363188277052228e-05,{'alpha': 1.2363188277052228e-05},0.5968538384828196,0.620938817666541,0.5988877076869477,0.5694931161496418,0.5965433699964875,0.018251345225003462,6,0.6236389376712477,0.6173275714568346,0.6258280612300455,0.6356234056304412,0.6256044939971422,0.006572659869337485,-32072.139078440006,-31617.54599889615,-32124.890096514653,-31711.500511640235,31881.51892137276,220.31428495396497,6,-30774.74883615569,-30888.425986947837,-30669.786730043048,-30727.69031768548,30765.162967708016,80.2908571956494
5,0.06099170446395874,0.005679758015754519,0.011495888233184814,0.002173644928398459,1.2358382772306929e-05,{'alpha': 1.2358382772306929e-05},0.5968538383869579,0.6209388175933055,0.5988877076609133,0.5694931160983026,0.5965433699348698,0.018251345218309862,7,0.6236389376746395,0.6173275714636075,0.6258280612301279,0.6356234056313164,0.6256044939999228,0.006572659867285845,-32072.139082253125,-31617.54600195044,-32124.890097557196,-31711.500513531082,31881.51892382296,220.3142847869914,7,-30774.748836017014,-30888.42598667449,-30669.786730039665,-30727.690317648576,30765.162967594937,80.29085709190994
6,0.05886340141296387,0.005695185088530567,0.009022057056427002,0.0023547095928487627,2.550264850403287e-06,{'alpha': 2.550264850403287e-06},0.5968536399084626,0.6209386677618736,0.5988876554000881,0.5694930109423679,0.5965432435031981,0.01825133159132813,8,0.6236389440111536,0.6173275846196955,0.6258280607535724,0.635623406899934,0.625604499071089,0.006572655731097039,-32072.146977192635,-31617.552250680117,-32124.89219032927,-31711.504386468307,31881.523951167583,220.31395151146398,8,-30774.748576951122,-30888.42545571012,-30669.786749570605,-30727.69026415764,30765.162761597374,80.29064601563113
7,0.01926630735397339,0.004155342948063356,0.011639714241027832,0.004782867512516682,1.156732719914599,{'alpha': 1.156732719914599},0.5960428128090909,0.622045289520367,0.5959110241180126,0.5673230031226779,0.5953305323925371,0.019358100747723855,9,0.6088554853974426,0.6045379247311846,0.6130855107686097,0.6237643287323834,0.6125608124074051,0.007139507359235552,-32104.383288870315,-31571.366789529744,-32243.870340187917,-31791.32621991306,31927.736659625258,263.036037447392,9,-31373.342911483218,-31400.35892499278,-31187.649563689545,-31223.7215686187,31296.26824219606,91.97338209837324
8,0.026555359363555908,0.001423760561678661,0.00949716567993164,0.003775306789540801,0.016136341713591334,{'alpha': 0.016136341713591334},0.5971723348970208,0.6211916277931304,0.598969644697358,0.5697034382695341,0.5967592614142608,0.018262081732858416,3,0.6236230936564782,0.6172943511548374,0.6258246221080214,0.6356152716152629,0.62558933463365,0.006581178219911534,-32059.467644888984,-31607.0007764217,-32121.60878110477,-31703.753312854376,31872.957628817454,221.34618220425753,3,-30775.396605667884,-30889.766690502835,-30669.927677139454,-30728.03328442437,30765.781064433635,80.74289575002075
9,0.023534953594207764,0.002403626482346916,0.007773697376251221,0.002480891652668298,0.090470719575684,{'alpha': 0.090470719575684},0.5987473347529926,0.6221286135189623,0.5994445637026965,0.5704843777289257,0.5977012224258942,0.018313844904067227,2,0.623343705219439,0.6170337970240056,0.6256681687693957,0.6354534058689747,0.6253747692204538,0.006621216620575998,-31996.73224485289,-31567.886481633515,-32102.5831868612,-31674.97088935302,31835.543200675158,220.63309395727757,2,-30786.816932943922,-30900.28010585491,-30676.338990364096,-30734.85747793727,30774.57337677505,82.43093123586364
