,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,18.00655108690262,0.11975235897666224,0.383417546749115,0.012568990211981693,True,39,42,3,9,800,"{'bootstrap': True, 'max_depth': 39, 'max_features': 42, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 800}",0.6219359428566018,0.6275600116158258,0.6210076487353653,0.5960997596480201,0.6166508407139533,0.01212714953666449,2,0.7776297159819476,0.7779552643938163,0.7835945837547766,0.7838400818792097,0.7807549115024376,0.002965926740856829,-31058.41990703605,-31340.192149518574,-31226.541567329867,-30715.939107440536,31085.273182831254,235.62109079061085,2,-23655.413811968505,-23528.943797089927,-23324.331862081544,-23666.948438680975,23543.90947745524,137.84964939812977
1,9.509883224964142,0.03404981929990659,0.24181115627288818,0.019672162447693816,True,26,39,3,8,430,"{'bootstrap': True, 'max_depth': 26, 'max_features': 39, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 430}",0.6244350393162112,0.6241250178356337,0.6217019863264114,0.5945292785816989,0.6161978305149889,0.01255501674365299,3,0.7792994125955726,0.7782660380273868,0.7849389074084215,0.7866123259639506,0.7822791709988328,0.0035649202693932673,-30955.597805908073,-31484.384886971744,-31197.923969550186,-30775.597403382486,31103.376016453123,266.16925702789524,3,-23566.436575257576,-23512.47248634563,-23251.772914838195,-23514.694770245424,23461.344186671704,122.90740001297877
2,14.83729749917984,0.3056952049839338,0.3976304531097412,0.057149515511813055,True,23,37,4,4,761,"{'bootstrap': True, 'max_depth': 23, 'max_features': 37, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 761}",0.619921885419985,0.6256816157922467,0.6186849614432994,0.5912152715122152,0.6138759335419366,0.01334690994657853,5,0.7500866139316341,0.7508015651813668,0.7550945545687089,0.7582350686874687,0.7535544505922945,0.0033122641501606787,-31141.038647790574,-31419.12465927417,-31322.08268372115,-30901.109544151634,31195.83888373438,197.2704261058178,5,-25077.65559716182,-24926.129496024067,-24812.719713731203,-25029.45157223561,24961.489094788172,101.85306153885675
3,9.368396043777466,0.3286202304678998,0.22241675853729248,0.012318252409654501,True,21,37,4,7,485,"{'bootstrap': True, 'max_depth': 21, 'max_features': 37, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 485}",0.6223597985782615,0.6262715629215104,0.6181864128955374,0.5897150617611171,0.6141332090391066,0.01438480785769811,4,0.7479065275110328,0.7489970012892536,0.7526988366893239,0.7561998630473316,0.7514505571342355,0.0032670395910672635,-31041.004894294267,-31394.35572961493,-31342.55194989431,-30957.760010466915,31183.918146067605,187.76338841516534,4,-25186.798898173267,-25016.217652074913,-24933.786047496844,-25134.581221738386,25067.845954870856,99.04662914368342
4,9.372307062149048,0.1363828200110261,0.16547149419784546,0.004261472108469693,False,20,41,2,7,352,"{'bootstrap': False, 'max_depth': 20, 'max_features': 41, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 352}",0.6107860393444431,0.5969033316450103,0.602211202380424,0.5830882090181656,0.5982471955970108,0.010056550063522816,9,0.8685344418767034,0.8709205354534935,0.8794239819522053,0.8752344439789758,0.8735283508153444,0.004165604632999204,-31513.081071666864,-32604.542222174532,-31991.524721840295,-31206.770787997684,31828.97970091984,527.933230504731,9,-18188.55380288289,-17939.517966153977,-17410.274465033803,-17980.51117179872,17879.714351467344,287.007005595636
5,15.66387951374054,0.408116992007719,0.2882184386253357,0.009484663428129954,False,36,40,3,11,575,"{'bootstrap': False, 'max_depth': 36, 'max_features': 40, 'min_samples_leaf': 3, 'min_samples_split': 11, 'n_estimators': 575}",0.6157298238036184,0.6128703550714202,0.6107020573485704,0.5948762729777612,0.6085446273003425,0.008090386020468729,8,0.831641353919749,0.8285452928106033,0.8405120294246785,0.8348266003027622,0.8338813191144483,0.00442579079182363,-31312.30234101581,-31952.269989766664,-31648.251354972264,-30762.425989316347,31418.812418767768,441.4200796671485,8,-20583.057467951996,-20675.541764822166,-20023.459551863158,-20688.296649254888,20492.588858473053,273.8796181425466
6,36.751447558403015,0.6045042293934668,0.4311596155166626,0.007091469550535154,False,35,44,2,4,975,"{'bootstrap': False, 'max_depth': 35, 'max_features': 44, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 975}",0.6027463504915578,0.5886052075194361,0.5911843967071515,0.5726318940641287,0.5887919621955685,0.01074280427692519,10,0.934086069191726,0.93153289146513,0.9411872489168108,0.9369081957246723,0.9359286013245848,0.0035822538127913655,-31836.888015691067,-32938.43021311843,-32431.900314465536,-31595.686513190616,32200.726264116412,523.4739556906255,10,-12878.959580628149,-13065.414296288838,-12159.365028539669,-12786.190030926495,12722.482234095789,340.311339007438
7,19.969436407089233,0.21860376906783968,0.28516995906829834,0.021533926742311804,True,39,45,1,4,584,"{'bootstrap': True, 'max_depth': 39, 'max_features': 45, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 584}",0.6186140095459268,0.6150543943235817,0.6129665189687701,0.5884311895848651,0.6087665281057859,0.011912976835119911,7,0.9042810107203455,0.9055501209924767,0.909786320823093,0.9109498594128704,0.9076418279871963,0.002793396332843822,-31194.571900848983,-31862.01118814701,-31556.07160825196,-31006.15901103642,31404.703427071094,329.78615210433156,7,-15519.982470561192,-15345.565411759962,-15059.52751779837,-15190.49708694642,15278.893121766487,172.12233696664453
8,6.6998520493507385,0.051774577997298926,0.14948606491088867,0.011538591502505864,True,26,34,1,8,373,"{'bootstrap': True, 'max_depth': 26, 'max_features': 34, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 373}",0.6274135993833139,0.6234985536117263,0.6224632770333376,0.5961026528152323,0.6173695207109026,0.012416466730124998,1,0.8364395571975737,0.8352771980533393,0.8416453856095805,0.8429390887668645,0.8390753074068394,0.00327516878164589,-30832.600909755878,-31510.611199144485,-31166.51665335481,-30715.829096974856,31056.389464807507,310.0435707734609,1,-20287.629878963344,-20265.58068086768,-19952.18717895319,-20173.847680643907,20169.811354857033,132.69282411909757
9,11.305191576480865,0.42468780435966125,0.2982342839241028,0.06296368709898129,False,33,31,2,10,445,"{'bootstrap': False, 'max_depth': 33, 'max_features': 31, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 445}",0.618426037114927,0.6184534926773316,0.6160091671033914,0.595060899455868,0.6119873990878795,0.009822772441041978,6,0.8556663046739701,0.8516243050083135,0.8627641034110544,0.8560604143562225,0.8565287818623901,0.003996760033101441,-31202.258335761402,-31721.027308213077,-31431.78847109892,-30755.415531496463,31277.622411642464,353.11288768478636,6,-19057.943704869765,-19233.732644538988,-18574.152669726656,-19312.780525645732,19044.652386195285,286.875707236447
