,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,2.4332786202430725,0.14576474245905688,0.06803160905838013,0.0037780113377828923,True,26,33,3,9,170,"{'bootstrap': True, 'max_depth': 26, 'max_features': 33, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 170}",0.610524257693484,0.6247186357239845,0.6165385099567977,0.5919643438761555,0.6109364368126053,0.012056558716744499,5,0.7581882865759695,0.7597538131818284,0.7628163845218713,0.766077609585474,0.7617090234662858,0.00302197074338391,-31523.676991325443,-31459.51348034364,-31410.116169069348,-30872.78439007875,31316.522757704297,259.33698580323073,5,-24667.824020019834,-24474.309255692617,-24418.416174590006,-24620.14337300713,24545.173205827396,102.16750044148881
1,7.931599259376526,0.15276175823889587,0.19566422700881958,0.01970579708085909,True,26,39,3,8,480,"{'bootstrap': True, 'max_depth': 26, 'max_features': 39, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 480}",0.6140691376335572,0.6241347611905174,0.6186066192716055,0.5938083408645245,0.6126547147400512,0.011449923956465902,2,0.7741888712743878,0.7741479225405292,0.7792839380170189,0.7820161084388669,0.7774092100677007,0.003381741258760375,-31379.890004881145,-31483.976818414652,-31325.30012036447,-30802.945167506918,31248.028027791795,263.2152833747639,2,-23837.72718584216,-23729.808674278695,-23555.488670763392,-23766.590417801945,23722.40373717155,103.88386911115647
2,3.805911362171173,0.05063013965195556,0.09708821773529053,0.004000104594355476,True,27,34,4,9,280,"{'bootstrap': True, 'max_depth': 27, 'max_features': 34, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 280}",0.6076018662804357,0.6227360671662241,0.6139045354903575,0.5870833178149615,0.6078314466879946,0.013129810338471852,9,0.7390773265951263,0.7407172654071645,0.7423929419511069,0.7474202938738215,0.7424019569568048,0.003125505532799623,-31641.72331172116,-31542.502526463828,-31517.80867430035,-31056.889489420333,31439.731000476422,225.846533122183,9,-25624.068352666596,-25425.47007356085,-25448.02178250332,-25583.143557293442,25520.17594150605,85.04995270331645
3,8.64594841003418,0.16778194115264813,0.22495609521865845,0.00277702189594317,True,25,34,4,9,641,"{'bootstrap': True, 'max_depth': 25, 'max_features': 34, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 641}",0.6071999708443274,0.6235465149608412,0.6138211545796903,0.5879536977970092,0.608130334545467,0.013019277037885977,8,0.7392359768386836,0.7395366248237678,0.7425193942174035,0.7467307576556591,0.7420056883838785,0.0030148694090281693,-31657.92294246778,-31508.604115809496,-31521.211772707335,-31024.140080379024,31427.969727840908,240.39178882626337,8,-25616.276996752098,-25483.29160073496,-25441.77514654029,-25618.040424505696,25539.84604213326,78.69618425126234
4,4.1367698311805725,0.07230352241047552,0.1149601936340332,0.006635160701830252,True,25,31,4,6,310,"{'bootstrap': True, 'max_depth': 25, 'max_features': 31, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 310}",0.6074459002457994,0.6221300427842614,0.613659671093274,0.5878172763575813,0.607763222620229,0.012640362851028715,10,0.7356679935140082,0.7367476667052097,0.7406879039802539,0.7448949080428626,0.7394996180605836,0.0036323463611015183,-31648.01098667015,-31567.826780199382,-31527.801495608233,-31029.27543478813,31443.228674316473,242.88388689854688,10,-25790.932844770272,-25619.361770261912,-25532.099997770245,-25710.72035193059,25663.278741183254,97.06034160668946
5,9.912422776222229,0.09599961887534425,0.26667994260787964,0.019393754138496627,True,29,35,3,10,710,"{'bootstrap': True, 'max_depth': 29, 'max_features': 35, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 710}",0.6113000265110052,0.6289875858547207,0.6207752195812479,0.5963167292977413,0.6143448903111788,0.012145405019907796,1,0.7580460122458715,0.7583361908032732,0.7623479569249344,0.7655525210760623,0.7610706702625354,0.0030961420333840512,-31492.26646598101,-31280.070508978162,-31236.11543625584,-30707.687909331296,31179.03508013658,288.8547997870521,1,-24675.07983489649,-24546.41091454987,-24442.516949925524,-24647.760455152336,24577.942038631056,91.712225446731
6,11.827787339687347,0.08024180437497305,0.26002687215805054,0.010089984862848143,True,29,45,4,4,716,"{'bootstrap': True, 'max_depth': 29, 'max_features': 45, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 716}",0.6084361088551075,0.6221891775811546,0.6136422224158944,0.5911608528572183,0.6088570904273437,0.011335520341465795,7,0.7570154201396719,0.757720972391192,0.7620083519269238,0.764880542867443,0.7604063218313077,0.003213038678779161,-31608.070096536867,-31565.356578441275,-31528.513448495858,-30903.166300117595,31401.276605897896,288.95885347196486,7,-24727.575189134524,-24577.63570792433,-24459.974905402352,-24683.058140675086,24612.060985784075,103.31916905867898
7,13.889568269252777,0.1846151390135052,0.3726418614387512,0.035090308721252524,True,23,45,3,4,634,"{'bootstrap': True, 'max_depth': 23, 'max_features': 45, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 634}",0.6110423214188416,0.6201933014328547,0.6167849193746902,0.5930537496363968,0.6102685729656958,0.010463171538742095,6,0.7905195224576302,0.7904695289498844,0.7958416535307863,0.7978525951992335,0.7936708250343836,0.0032549463368581237,-31502.704301415364,-31648.622532935155,-31400.02259720153,-30831.543547932088,31345.723244871035,309.7257703321049,6,-22959.58067240732,-22856.29256573941,-22654.72103254748,-22886.99454564365,22839.397204084467,113.02689343760332
8,6.013087689876556,0.10780603223380086,0.16015541553497314,0.008369089962622416,True,22,36,3,10,316,"{'bootstrap': True, 'max_depth': 22, 'max_features': 36, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 316}",0.6130533304054508,0.6259357340744371,0.6189044642148908,0.5913008684277264,0.6122985992806264,0.012952636960826863,3,0.7539472599024072,0.7543449138945806,0.7601773829765188,0.7634155058324854,0.7579712656514981,0.003995302057843963,-31421.16031340856,-31408.45789821881,-31313.06615803446,-30897.874127125724,31260.13962419689,213.28588860688902,3,-24883.202692082567,-24748.282907086297,-24553.885020343525,-24759.83919178976,24736.30245282554,117.8487476943074
9,7.858332335948944,0.10883085501494895,0.13456904888153076,0.005757946666551009,True,21,33,3,3,495,"{'bootstrap': True, 'max_depth': 21, 'max_features': 33, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 495}",0.6112486913413692,0.6238046025596604,0.6181946022685809,0.5908765648408267,0.6110311152526093,0.012457234503159947,4,0.7703031207857981,0.7716486850428117,0.7750579378213147,0.777412772149876,0.7736056289499501,0.00279909494446702,-31494.345971483188,-31497.801487393437,-31342.215820910074,-30913.908756164994,31312.068008987924,238.30750186693837,4,-24041.951774127803,-23860.742295438657,-23779.92524524402,-24016.228191293325,23924.71187652595,108.5998450283744
