mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0.4780946373939514,0.09755720129119153,0.010402858257293701,0.00173500031864989,0.04185822729546973,{'alpha': 0.04185822729546973},0.6098462683350917,0.6396127596919201,0.6089228205220412,0.6228737003576226,0.6203138872266689,0.01243308658000917,5,0.6652681660889979,0.658596774921699,0.6696317368887262,0.6621442015957264,0.6639102198737874,0.00405990433055258,-30922.579870046633,-31796.74100857877,-32658.41030038651,-29771.083758913843,31287.203734481438,1069.0423311200282,5,-29672.561468882188,-29292.445719144398,-28966.586640213172,-29987.48907259251,29479.77072520807,385.16060095303493
0.06636804342269897,0.015097935630975676,0.00805288553237915,0.0008644999219939519,451.8560951024106,{'alpha': 451.8560951024106},0.5700770377724125,0.5804939825792343,0.5673593462289712,0.5669272061059423,0.57121439317164,0.005491942205271169,10,0.5793968066767989,0.5750247549952862,0.5872685946952225,0.582340856043819,0.5810077531027816,0.004454399949452259,-32460.346999126883,-34305.756742089594,-34350.05738209587,-31903.011875200245,33254.79324962814,1091.1674380614934,10,-33261.57519087165,-32681.624861312754,-32376.650709103742,-33341.521258333516,32915.343004905415,401.96958544598255
0.05786168575286865,0.008674543017203403,0.011052906513214111,0.0027799475784418535,13.303245101522908,{'alpha': 13.303245101522908},0.6172328923968844,0.640597406662617,0.6130179002088989,0.6270256861378709,0.6244684713515678,0.010608382110789516,1,0.6636480692456683,0.6569667030965536,0.6677158168889473,0.6608563253570232,0.662296728647048,0.003926721685891699,-30628.458699417053,-31753.2739046955,-32486.97260350412,-29606.74727252123,31118.863120034475,1095.5810598166174,1,-29744.28215870196,-29362.29264353137,-29050.458850088275,-30044.58952880841,29550.405795282506,376.5431956114543
0.14999651908874512,0.01352894062541652,0.010019421577453613,0.002115224658408642,1.55099139875943,{'alpha': 1.55099139875943},0.6110353405084186,0.6397760576906778,0.6097711411049653,0.6234422383813698,0.6210061944213578,0.01208187100679605,4,0.6652337143527443,0.6585625804138303,0.6695944303554032,0.6621166249647072,0.6638768375216713,0.004058067871567011,-30875.422513331414,-31789.536352152925,-32622.969927388745,-29748.63454605904,31259.14083473303,1068.9034331005048,4,-29674.088429953084,-29293.912629256185,-28968.22210666755,-29988.712874361532,29481.234010059587,385.03186157565744
0.7938100695610046,0.024216583409311612,0.012097656726837158,0.0016968076692097055,0.0012363188277052211,{'alpha': 0.0012363188277052211},0.6098167982666555,0.6396078181438458,0.6088980181369456,0.6228569731306417,0.6202949019195221,0.012442191909912494,6,0.6652681940041403,0.658596803610364,0.6696317642088444,0.6621442231051918,0.6639102462321351,0.00405990456442802,-30923.74770885377,-31796.959002680826,-32659.445893447162,-29771.743991512452,31287.974149123555,1069.0667796341982,6,-29672.560231602507,-29292.444488398585,-28966.585442503412,-29987.48811802125,29479.769570131437,385.16068014445284
0.8176628947257996,0.03752403492515381,0.012053966522216797,0.0021214125916471692,0.0012358382772306921,{'alpha': 0.0012358382772306921},0.6098167979179219,0.6396078180929872,0.6088980178431438,0.6228569729449822,0.6202949016997588,0.012442192021319503,7,0.6652681940041592,0.6585968036103835,0.669631764208863,0.6621442231052064,0.663910246232153,0.004059904564428156,-30923.74772267311,-31796.959004924425,-32659.4459057143,-29771.743998840455,31287.974158038072,1069.0667800601968,7,-29672.560231601667,-29292.444488397745,-28966.585442502597,-29987.488118020603,29479.769570130655,385.16068014450786
0.6774269342422485,0.024839407902467223,0.007534205913543701,0.0006823082036295045,0.0002550264850403284,{'alpha': 0.0002550264850403284},0.6098160894268674,0.6396077142671268,0.6088974181693398,0.6228565939930522,0.6202944539640965,0.012442418709224192,8,0.6652681940275265,0.6585968036344976,0.6696317642316834,0.6621442231231434,0.6639102462542127,0.004059904564581686,-30923.775798188115,-31796.963585138084,-32659.470943949273,-29771.75895610627,31287.992320845435,1069.0676607716762,8,-29672.560230565963,-29292.44448736325,-28966.585441502153,-29987.48811722458,29479.769569163986,385.1606802116031
0.03455233573913574,0.004138465661277567,0.016621053218841553,0.008866238063198011,115.67327199145977,{'alpha': 115.67327199145977},0.6208574380492292,0.6297771881981862,0.6045101292093615,0.6203883707754303,0.6188832815580518,0.009102572407382312,9,0.6399014316714069,0.6351012823503117,0.6429556331353277,0.6364183454695056,0.638594173156638,0.003068622259221476,-30483.09836961771,-32227.713475324297,-32842.142886270834,-29869.021043939636,31355.49394378812,1218.7665598048548,9,-30776.358135698913,-30283.634273710504,-30113.362672475418,-31108.23672193448,30570.39795095483,394.5899116900229
0.16215288639068604,0.027096823335788,0.012244880199432373,0.004367207556229745,1.6136341713591318,{'alpha': 1.6136341713591318},0.6110837976154956,0.6397811331842869,0.609802711735102,0.6234634916387051,0.6210327835433974,0.012067578360162957,3,0.6652310278016946,0.6585597677973015,0.6695914121951233,0.662114377581393,0.6638741463438782,0.004057944724183429,-30873.499227734446,-31789.312396804617,-32621.650254937656,-29747.795014423602,31258.064223475078,1068.9240860117006,3,-29674.20749928129,-29294.033284416473,-28968.35441457291,-29988.812607029435,29481.35195132503,385.0208874696263
0.07746917009353638,0.00476168066330907,0.010178327560424805,0.0014864125193421109,9.047071957568388,{'alpha': 9.047071957568388},0.6154035761168509,0.6404259597557165,0.6122457397105039,0.6256845893387483,0.623439966230455,0.01099382306543678,2,0.6644006626105341,0.6577305638300406,0.6686393458064862,0.661432601912084,0.6630507935397862,0.0039992952896174445,-30701.56105467885,-31760.84668186603,-32519.36771440289,-29659.927725511745,31160.42579411488,1080.4258058912912,2,-29710.98684614492,-29329.58269600894,-29010.060287983193,-30019.052632305902,29517.420615610736,381.3791262862751
