,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,0.14186370372772217,0.0422371361410473,0.01415395736694336,0.0008344356838244333,509.4138014816386,{'alpha': 509.4138014816386},0.5741769937172871,0.5867734344277417,0.5742161595424338,0.6163656224032205,0.5878830525226708,0.017227362327318682,10,0.6178197124179533,0.6139712662588226,0.6221635649191618,0.6161713824477523,0.6175314815109224,0.00300267696645739,-32305.197333156713,-34048.03268990107,-34076.767505582735,-30026.865139964146,32614.21566715117,1657.163556812258,10,-31705.942755302807,-31148.10573295258,-30977.76489340739,-31962.672890335925,31448.621567999675,400.7738547338443
1,0.14399880170822144,0.06430657173026404,0.013016462326049805,0.0008076493326335056,1.9179102616724888,{'alpha': 1.9179102616724888},0.6184690195280844,0.6447031736536326,0.6109184723826508,0.6343130253284646,0.627100922723208,0.013212069421564564,1,0.667869092002783,0.6611206083840017,0.6725856106051249,0.6664284837844356,0.6670009486940862,0.004088038640357615,-30578.962171669817,-31571.380360932504,-32574.976416132213,-29316.0855550188,31010.351125938334,1206.1756045349084,1,-29557.056115668383,-29183.972237232363,-28836.79851013971,-29796.74976899123,29343.64415800792,365.1153897825084
2,0.03541839122772217,0.0014651791478007673,0.013660669326782227,0.002639292556095663,45.34878508128591,{'alpha': 45.34878508128591},0.6201944220583203,0.6380289772696544,0.6103907599165712,0.6369136345436335,0.6263819484470449,0.011625115976411684,8,0.6639845114021206,0.6587401975098996,0.6693832112059473,0.6629968644351041,0.6637761961382679,0.003789810460525087,-30509.74000213602,-31866.532481751852,-32597.059700841648,-29211.657837246305,31046.247505493957,1297.251465552645,8,-29729.40230631012,-29286.29223348301,-28977.479919245823,-29949.624737196933,29485.69979905897,378.3741811068209
3,0.034028470516204834,0.008246479878443342,0.015723347663879395,0.006263829935974542,0.43287612810830617,{'alpha': 0.43287612810830617},0.6181494466488937,0.6449448496046392,0.6107962574797567,0.6340642464893373,0.6269887000556568,0.013349290817524565,2,0.6679201552204014,0.6611244692215898,0.6726330969058014,0.6664748957241776,0.6670381542679925,0.004103968805182648,-30591.766061817867,-31560.640972406978,-32580.092098470162,-29326.05580588133,31014.638734644086,1201.9667510676682,2,-29554.783914606345,-29183.805990920697,-28834.707272577583,-29794.676790642203,29341.993492186706,364.88509380905646
4,0.040183186531066895,0.009706973598397716,0.015736103057861328,0.0017011206803275326,0.3593813663804629,{'alpha': 0.3593813663804629},0.6181327448308442,0.6449567977928244,0.6107894427163878,0.6340513545617916,0.626982584975462,0.013356434373330686,3,0.6679223139637223,0.6611243725639859,0.6726352121676862,0.6664769009784848,0.6670396999184698,0.004104771773240288,-30592.435083401335,-31560.109934271542,-32580.377327801292,-29326.572380243404,31014.873681429395,1201.759115932481,3,-29554.687851419934,-29183.810152974762,-28834.614115549175,-29794.587223180864,29341.924835781185,364.87523811961006
5,0.036539435386657715,0.010639497017443236,0.018872618675231934,0.007376357250392555,0.14174741629268062,{'alpha': 0.14174741629268062},0.6180827783880549,0.6449921702444229,0.6107687997549192,0.6340128448138824,0.6269641483003199,0.013377796378541454,4,0.667928490848611,0.6611239198914127,0.6726413388895176,0.6664826696172699,0.6670441048117027,0.0041071573792620655,-30594.436492446857,-31558.537750575528,-32581.241315871128,-29328.115396201636,31015.582738773788,1201.144986868975,4,-29554.412980867983,-29183.829644943133,-28834.34429042909,-29794.32955743726,29341.729118419367,364.8469508383094
6,0.03534543514251709,0.005424611427768323,0.01789259910583496,0.004462182760276858,0.005994842503189409,{'alpha': 0.005994842503189409},0.6180512223191745,0.6450142273992767,0.6107555649985201,0.6339885683985416,0.6269523957788783,0.013391281705876923,5,0.667932178226504,0.6611235101028726,0.6726450553698424,0.6664861381397048,0.667046720459731,0.004108651320434455,-30595.700405343465,-31557.557346330308,-32581.795229748404,-29329.088066545602,31016.035261991947,1200.7625365151152,5,-29554.248891826024,-29183.847290324487,-28834.180612802502,-29794.17462910254,29341.61285601389,364.82999374876016
7,0.029121041297912598,0.005859297909509287,0.01614290475845337,0.005278376306966409,291.5053062825182,{'alpha': 291.5053062825182},0.5969761122388122,0.6099242465820305,0.5933448175774515,0.6297368219549511,0.6074954995883113,0.014243196131465395,9,0.6392631892253009,0.6359401159018756,0.6447109063262206,0.6383837918569759,0.6395745008275933,0.0032057026531262895,-31428.469436357725,-33080.524316891184,-33302.50939220191,-29498.94586552933,31827.612252745035,1527.0160725482608,9,-30803.620229698136,-30248.806055349665,-30039.25101249693,-31024.04046992796,30528.92944186817,399.63859763890105
8,0.04633772373199463,0.008875191505318389,0.02553945779800415,0.01447899900967847,0.0006428073117284319,{'alpha': 0.0006428073117284319},0.6180499720570845,0.6450150968865935,0.6107550374712251,0.6339876072493359,0.6269519284160597,0.013391815925555656,6,0.667932320964274,0.6611234919222813,0.672645200217429,0.6664862728228826,0.6670468214817167,0.004108710310751034,-30595.750480923318,-31557.518698425545,-32581.81730813789,-29329.12657574061,31016.05326580684,1200.7474692474357,6,-29554.242539948846,-29183.84807317548,-28834.17423354659,-29794.168613198883,29341.608364967447,364.8293361444655
9,0.03163975477218628,0.0009786976729916162,0.01612144708633423,0.0004151513571071074,0.0001,{'alpha': 0.0001},0.6180498452283851,0.6450151850701387,0.6107549839444867,0.6339875097516523,0.6269518809986657,0.013391870117419852,7,0.6679323354296185,0.6611234900697821,0.6726452149008502,0.6664862864737731,0.667046831718506,0.0041087162939794164,-30595.755560670183,-31557.514778746117,-32581.819548370288,-29329.13048205877,31016.055092461338,1200.7459411616999,7,-29554.24189623624,-29183.84815294356,-28834.173586871588,-29794.168003453466,29341.607909876213,364.8292694962329
