,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,2.0921252965927124,0.017270082632035933,0.01481097936630249,0.0018966724352407333,0.6247240713084175,1.9014286128198323,0.0831993941811405,1,3,714,0.6674996517121548,"{'colsample_bytree': 0.6247240713084175, 'gamma': 1.9014286128198323, 'learning_rate': 0.0831993941811405, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 714, 'subsample': 0.6674996517121548}",0.6375029509323225,0.6575272181439045,0.6342531683124828,0.6111796207805082,0.6351157395423045,0.016444261627053487,5,0.6602005113237684,0.6573224201841334,0.6644359897649732,0.6740097681190245,0.6639921723479749,0.0063129130791841105,-30412.274358808125,-30052.910179736617,-30676.01568949831,-30137.085616683882,30319.57146118173,244.97736507306834,5,-29241.76178362217,-29229.74572136746,-29044.42859743276,-29064.106380638328,29145.01062076518,91.10854004483436
1,2.0607699155807495,0.01451124803004856,0.02086859941482544,0.001008791402165656,0.45998494949080176,0.9184977839317343,0.04337086111390219,3,4,408,0.9819459112971965,"{'colsample_bytree': 0.45998494949080176, 'gamma': 0.9184977839317343, 'learning_rate': 0.04337086111390219, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 408, 'subsample': 0.9819459112971965}",0.6389812056473603,0.6534084961669269,0.6362318959741802,0.6130458463681214,0.6354168610391472,0.014470055860412457,4,0.7019050700119416,0.7007964878386708,0.7015922324174034,0.7124777843371496,0.7041928936512913,0.00480032712371872,-30350.200729147025,-30233.084565834783,-30592.922965301033,-30064.673967459814,30310.220556935667,192.19921604416544,4,-27388.577029837772,-27312.756656446883,-27389.25445319944,-27295.457898723485,27346.511509551896,42.84369415485277
2,2.2037221789360046,0.017086548081484732,0.015625476837158203,0.0019126680078489786,0.899465584480253,0.4246782213565523,0.028182496720710062,1,3,559,0.7669918962929685,"{'colsample_bytree': 0.899465584480253, 'gamma': 0.4246782213565523, 'learning_rate': 0.028182496720710062, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 559, 'subsample': 0.7669918962929685}",0.5742125170540605,0.6096651699675681,0.5836485535247103,0.5640995798011987,0.5829064550868844,0.016925296516509432,10,0.5896670840124852,0.587104660279869,0.5946938670326929,0.6047391917219386,0.5940512007617464,0.006747612078329565,-32960.44807907301,-32084.26948372425,-32729.44973474523,-31909.52842240044,32420.923929985733,436.21556053655723,10,-32133.671719035618,-32085.010249064606,-31920.2832590093,-32003.432319109816,32035.599386554837,81.22829745890824
3,2.8604756593704224,0.005538384806328792,0.018453001976013184,0.0022016165212091526,0.40423978313183045,0.046124850082831514,0.06247746602583892,3,4,575,0.9842533113048755,"{'colsample_bytree': 0.40423978313183045, 'gamma': 0.046124850082831514, 'learning_rate': 0.06247746602583892, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 575, 'subsample': 0.9842533113048755}",0.6529932118454096,0.655905977104885,0.6397558022583247,0.6142780218169821,0.6407332532564003,0.016441964713450594,2,0.7415451573013019,0.7382027640821324,0.7407710291495364,0.7514829586339378,0.7430004772917271,0.00505121116802002,-29755.3900260205,-30123.96032911495,-30444.38196968367,-30016.768433513575,30085.125189583174,246.96736945429117,2,-25502.603062139766,-25548.459602173858,-25528.007380649004,-25376.56109631606,25488.907785319672,66.86653943267319
4,5.171794056892395,0.03236072557807622,0.01886463165283203,0.0008549742271671415,0.5396628042581826,0.1812128690656416,0.07183860093330872,3,4,931,0.680057735948788,"{'colsample_bytree': 0.5396628042581826, 'gamma': 0.1812128690656416, 'learning_rate': 0.07183860093330872, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 931, 'subsample': 0.680057735948788}",0.6290309942261356,0.649877960224567,0.6229387749100341,0.5954716283107965,0.6243298394178833,0.019426391469147365,9,0.8084897820671209,0.80517385261849,0.8091986898747623,0.8090006467444606,0.8079657428262084,0.0016325174273588757,-30765.60607702285,-30386.678268314037,-31146.88375307951,-30739.81399857477,30759.74552424779,269.01988656388625,9,-21952.71046792032,-22039.706821301006,-21901.094803248096,-22246.957716551573,22035.117452255246,131.9567556052424
5,4.513187766075134,0.007051530560113972,0.014010608196258545,0.0007832374989698431,0.9159642440417923,1.3606150771755594,0.05504992519695431,2,4,700,0.9793792198447356,"{'colsample_bytree': 0.9159642440417923, 'gamma': 1.3606150771755594, 'learning_rate': 0.05504992519695431, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 700, 'subsample': 0.9793792198447356}",0.6503600217803842,0.6584059420366484,0.6328503988965464,0.6182144000676061,0.6399576906952963,0.01558710006375676,3,0.6963782132115316,0.6933123403822907,0.6998940571014254,0.709540223530783,0.6997812085565076,0.006096674110438144,-29868.073008882136,-30014.330220869488,-30734.786117095522,-29863.211772624152,30120.100279867827,360.04702274258665,3,-27641.311180777822,-27652.24158677191,-27467.077111262333,-27434.539856968575,27548.79243394516,98.73258206261946
6,4.3640729784965515,0.06765321571027098,0.045977652072906494,0.02013137323643091,0.8850384088698766,0.6092275383467414,0.01976721140063839,3,4,554,0.7659979946695725,"{'colsample_bytree': 0.8850384088698766, 'gamma': 0.6092275383467414, 'learning_rate': 0.01976721140063839, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 554, 'subsample': 0.7659979946695725}",0.6298669026851096,0.6511201286060824,0.6256207919041472,0.6053485147755628,0.6279890844927255,0.016254042649757383,8,0.6840925916871969,0.6810905261646061,0.686116517208559,0.696343849969639,0.6869108712575003,0.005732172417057501,-30730.924292914235,-30332.727210404955,-31035.912981905407,-30362.226302989275,30615.44769705347,289.04058881919957,8,-28194.99874778286,-28197.843920191863,-28090.494228248477,-28050.830359395368,28133.541813904638,64.43212500870486
7,2.7176114916801453,0.013183661377831469,0.016449809074401855,0.003299241507302532,0.8999169470416986,0.34672930701554416,0.049106060757324085,2,4,487,0.5870266456536466,"{'colsample_bytree': 0.8999169470416986, 'gamma': 0.34672930701554416, 'learning_rate': 0.049106060757324085, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 487, 'subsample': 0.5870266456536466}",0.6372759913658779,0.6586968636269404,0.6321029754187144,0.6119937680012235,0.635017399603189,0.01661625509608509,6,0.6842822508357618,0.6842603983628321,0.6878416980946599,0.7018527751349611,0.6895592806070537,0.007245779696481928,-30421.79343843477,-30001.54651401034,-30766.054326709662,-30105.517207197474,30323.72787158806,298.6160869435087,6,-28186.533858771247,-28057.35454687126,-28013.191728025024,-27795.216854223643,28013.074246972792,140.98833219598637
8,4.806313097476959,0.017843553092620864,0.013205111026763916,0.0016269051650832256,0.7120408127066865,1.0934205586865593,0.028485445552552703,3,4,829,0.6698524800218595,"{'colsample_bytree': 0.7120408127066865, 'gamma': 1.0934205586865593, 'learning_rate': 0.028485445552552703, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 829, 'subsample': 0.6698524800218595}",0.6497782795617412,0.6584066004344773,0.6376140958424761,0.6188023416525934,0.641150329372822,0.014867396528481569,1,0.734462286262439,0.7316272336440659,0.735443572233816,0.7451103511316229,0.7366608608179859,0.0050755987494019005,-29892.910411153833,-30014.301295630714,-30534.74609668577,-29840.208562258253,30070.541591432142,275.34293803595256,1,-25849.686484978607,-25867.318662643178,-25788.988458043037,-25699.86136248715,25801.46374203799,65.46178225839108
9,2.8001550436019897,0.00461541599214747,0.013623833656311035,0.002426898526628222,0.6370901416010887,1.8533177315875884,0.08272719958564209,3,4,561,0.5175897174514872,"{'colsample_bytree': 0.6370901416010887, 'gamma': 1.8533177315875884, 'learning_rate': 0.08272719958564209, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 561, 'subsample': 0.5175897174514872}",0.642828254065319,0.63810958783222,0.6272453643659242,0.6092091634090958,0.6293480924181397,0.012927456118837895,7,0.7783192336050762,0.7764832940325431,0.7798812519743491,0.7830757994983183,0.7794398947775717,0.0024192958036656645,-30188.060406147637,-30893.13919442733,-30968.50151058508,-30213.353219419212,30565.763582644813,366.1370588442443,7,-23618.710417851056,-23606.80355547131,-23523.59349694137,-23708.751450315198,23614.464730144733,65.6206638298489
