,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,0.0349460244178772,0.006044409363546542,0.006091296672821045,0.00011797894414221401,509.4138014816386,{'alpha': 509.4138014816386},0.5787285954764394,0.5802344507747172,0.5729542235422659,0.5462903476156382,0.5695519043522652,0.01370222842951379,10,0.5873225584037387,0.5883352023482383,0.5938589484289237,0.6040843252169017,0.5934002585994507,0.006651182420117041,-32785.186031825106,-33271.8461280937,-33147.12609260336,-32554.853963361173,32939.75305397083,285.1875090704368,10,-32225.34229234168,-32037.16348043824,-31953.143762833766,-32029.932925601257,32061.395615303736,100.21735588012946
1,0.035621464252471924,0.004409538202166735,0.005914270877838135,0.00015845326165830794,1.9179102616724888,{'alpha': 1.9179102616724888},0.6081142836684748,0.6175672319918382,0.6004648623035407,0.5675622914495906,0.598427167353361,0.018821364603375353,1,0.6244794340159101,0.6211979064145563,0.6288404343330245,0.6372560893792092,0.6279434660356751,0.006021453273525658,-31621.05671763018,-31757.846925797614,-32061.67111538306,-31782.534043076146,31805.777200471748,160.03195623524167,1,-30740.36626608737,-30731.826815282333,-30546.07950654713,-30658.771339342744,30669.260981814892,77.86872513609315
2,0.014335334300994873,0.0035989838243009383,0.0076378583908081055,0.0006359522427538232,45.34878508128591,{'alpha': 45.34878508128591},0.6111546913292194,0.6132696454983875,0.5980341575578227,0.565613958987551,0.5970181133432452,0.019047364589264048,8,0.6214171126549568,0.6190846815157569,0.6266955965738013,0.6350213986225519,0.6255546973417667,0.006121699029407979,-31498.153405566914,-31935.78775036302,-32159.052141475833,-31854.05110826985,31861.761101418906,237.7666438596767,8,-30865.45360994633,-30817.42948177089,-30634.211421489643,-30753.063312253293,30767.539456365037,86.69215613107097
3,0.013021111488342285,0.0015489668158371935,0.007132887840270996,0.002346097504576668,0.43287612810830617,{'alpha': 0.43287612810830617},0.6077599572562634,0.6176810935191245,0.6005444236123232,0.5675600762979617,0.5983863876714182,0.01880869527988969,2,0.6244922337205869,0.621207070785279,0.6288483730339172,0.6372655698143243,0.6279533118385269,0.006021007250417171,-31635.34869571166,-31753.11894947844,-32058.478660853707,-31782.615445600146,31807.390437910988,155.0829225448433,2,-30739.842365403336,-30731.45506501731,-30545.75283103102,-30658.370698032137,30668.85523987095,77.81715553055939
4,0.014256596565246582,0.0019176678571344206,0.006745100021362305,0.000829508125600912,0.3593813663804629,{'alpha': 0.3593813663804629},0.6077415499444359,0.6176864794414785,0.6005483085564978,0.5675596032512493,0.5983839852984154,0.01880809081221807,3,0.6244924556025238,0.6212072301415943,0.6288485098608748,0.6372657344261035,0.6279534825077742,0.006020999459813145,-31636.09098975742,-31752.8952874615,-32058.322766543923,-31782.63282912189,31807.48546822118,154.83310287474953,3,-30739.83328354487,-30731.44860073092,-30545.747200606,-30658.3637415247,30668.848206601622,77.81624537791815
5,0.015005230903625488,0.003388793011159832,0.0072495341300964355,0.002770321330212269,0.14174741629268062,{'alpha': 0.14174741629268062},0.6076865413209162,0.6177022806547228,0.6005597813735761,0.5675579895888244,0.5983766482345099,0.018806315220848496,4,0.6244928734863879,0.6212075304026068,0.6288487673432492,0.6372660445239039,0.627953803939037,0.006020984770611315,-31638.309166078885,-31752.239098984086,-32057.862383071046,-31782.692127921106,31807.77569401378,154.09068337293454,4,-30739.81617911637,-30731.436420644026,-30545.73660521155,-30658.35063676166,30668.834960433403,77.81452680476917
6,0.012432277202606201,0.0004261929125666431,0.007615923881530762,0.002896552216277414,0.005994842503189409,{'alpha': 0.005994842503189409},0.6076518463348963,0.6177120232094573,0.6005669135571021,0.5675568196111906,0.5983719006781616,0.018805218914042104,5,0.6244929508892187,0.6212075860517341,0.6288488149840497,0.6372661019801464,0.6279538634762872,0.00602098204569588,-31639.708132137668,-31751.834506067873,-32057.576178067215,-31782.735122141003,31807.963484603442,153.62559428331247,5,-30739.813010935603,-30731.43416323685,-30545.73464479318,-30658.348208654683,30668.83250690508,77.81420740171937
7,0.01366502046585083,0.0031179363510361576,0.006134927272796631,0.0008841851991568931,291.5053062825182,{'alpha': 291.5053062825182},0.5967515680173496,0.5963320005777586,0.5865184491699715,0.5567098247175974,0.5840779606206693,0.016322933765743657,9,0.6035001404444194,0.6042826531381937,0.6103666118957645,0.6198484272123344,0.609499458172678,0.006539495082490071,-32076.20686440854,-32627.64014560415,-32616.453213952365,-32178.87043912819,32374.79266577331,249.93532577110386,9,-31587.38641386608,-31410.491788593346,-31297.03758152678,-31385.79088545802,31420.176667361055,105.35477286317378
8,0.012499451637268066,0.0011114607296000244,0.0070275068283081055,0.0020940997120004255,0.0006428073117284319,{'alpha': 0.0006428073117284319},0.6076504724198435,0.6177124054938541,0.6005671943567397,0.5675567708820222,0.5983717107881148,0.018805175874179257,6,0.6244929510268415,0.6212075861507098,0.6288488150687067,0.6372661020823213,0.6279538635821448,0.0060209820408470924,-31639.763529662556,-31751.818630295325,-32057.564909900335,-31782.736912834305,31807.97099567313,153.60722697451033,6,-30739.813005302552,-30731.434159221895,-30545.73464130954,-30658.348204336762,30668.83250254269,77.81420683279912
9,0.01281893253326416,0.0013369111570932096,0.005279600620269775,0.0008604909899243042,0.0001,{'alpha': 0.0001},0.6076503330505896,0.617712444257683,0.6005672228339977,0.567556765928795,0.5983716915177664,0.018805171509824227,7,0.6244929510284039,0.6212075861518334,0.6288488150696678,0.6372661020834811,0.6279538635833466,0.006020982040792044,-31639.76914915428,-31751.817020483606,-32057.56376714046,-31782.737094854863,31807.9717579083,153.60536401674003,7,-30739.813005238608,-30731.43415917632,-30545.734641269995,-30658.348204287748,30668.832502493166,77.81420682634068
